"timeStamp","plate","description","created","totalDue","paid","scannedTime"
"Tue Feb 19 2019 08:19:53 GMT-0400 (Venezuela Time)","PBY2588","","Tue Feb 19 2019 08:19:53 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:20:15 GMT-0400 (Venezuela Time)","TCP5133","","Tue Feb 19 2019 08:20:15 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:20:51 GMT-0400 (Venezuela Time)","PDK5107","","Tue Feb 19 2019 08:20:51 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:22:39 GMT-0400 (Venezuela Time)","PAU6246","","Tue Feb 19 2019 08:22:39 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:26:48 GMT-0400 (Venezuela Time)","PDT8659","","Tue Feb 19 2019 08:26:48 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:28:57 GMT-0400 (Venezuela Time)","PDN2164","","Tue Feb 19 2019 08:28:57 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:31:00 GMT-0400 (Venezuela Time)","PBW9527","","Tue Feb 19 2019 08:31:00 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:31:21 GMT-0400 (Venezuela Time)","PDR8178","","Tue Feb 19 2019 08:31:21 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:31:42 GMT-0400 (Venezuela Time)","PCX1784","","Tue Feb 19 2019 08:31:42 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:32:47 GMT-0400 (Venezuela Time)","TDR3000","","Tue Feb 19 2019 08:32:47 GMT-0400 (Venezuela Time)","","",""
